"","year","da","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Sat","Sun","Thu","Tue","Wed"
"112",2016,30,596,37.8,27.3,1011,10,11.6,15,22.9,45,34,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",2018,19,599,28.9,21.4,1014.3,10,10.5,15,21,34,24.1,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"114",2013,6,393,35.7,31.3,1019.7,9.8,5.9,15,20,44.1,23,0.01,999.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"115",2018,18,634,32.4,29.5,1013.5,8.4,10.2,15,19,41,28.9,0.04,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"116",2013,2,480,27.5,12.1,1013.4,10,12.4,15.9,25.1,33.1,21.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"117",2019,26,533,30.5,15.4,1022.6,10,7.9,15.9,21,37.9,21,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",2014,15,583,41.1,38.4,1013.3,6.5,6,15.9,24.1,48.9,32,0.62,999.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"119",2020,21,556,27.8,15.2,1026.8,10,11.5,15.9,999.9,34,21.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"120",2014,24,705,14.8,-0.5,1022.4,10,11.8,15.9,22.9,23,9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"121",2022,20,246,42.7,36.8,1016.5,7.8,10.5,15.9,21,48.9,35.6,0,999.9,1,1,0,0,0,11000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"122",2022,2,176,52.1,50.4,1001.8,2,6.6,15.9,25.1,55,46.9,0.41,999.9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"123",2021,19,261,35.8,23.9,1013.2,10,11.3,15.9,22.9,45,28.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"124",2022,28,283,36.6,24.5,1021.3,10,9.6,15.9,999.9,42.1,21.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"125",2016,9,554,45.9,38.6,1022.7,10,9.3,15.9,21,50,30.9,0,999.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",2013,26,558,24.4,16.6,1016.4,8.6,10.5,15.9,19,28,21.9,0,999.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
