"","day","year","mo","da","collision_date","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud"
"171",4,2013,1,3,"2013-01-03",549,21.8,7.8,1018.1,10,9.8,18.1,24.1,28.9,16,0,999.9,0,0,0,0,0,0
"172",1,2018,1,1,"2018-01-01",453,9.5,-0.5,1022.2,10,15,18.1,25.1,21,5,0,999.9,0,0,0,0,0,0
"173",6,2017,1,14,"2017-01-14",495,29.8,13.4,1035.9,10,10.2,18.1,25.1,50,25,0,999.9,0,0,0,0,0,0
"174",1,2017,1,9,"2017-01-09",669,18.3,5.7,1035.5,10,11,18.1,22.9,28,15.1,0,999.9,0,0,0,0,0,0
"175",6,2016,1,2,"2016-01-02",422,37.7,22.9,1014.3,10,12.5,19,25.1,44.1,34,0.03,999.9,0,0,0,0,0,0
"176",1,2019,1,28,"2019-01-28",565,35.7,27.3,1016,9.8,11.3,19,26,44.1,28.9,0,999.9,0,0,0,0,0,0
"177",2,2017,1,31,"2017-01-31",571,28.1,14.6,1013.1,8.2,9.8,19,28,39.9,21.9,0,999.9,1,0,1,0,0,0
"179",3,2013,1,30,"2013-01-30",497,45.1,44,1013.9,4.4,12.4,19,25.1,48.2,37,0.03,999.9,1,1,0,0,0,0
"180",5,2015,1,2,"2015-01-02",442,40.4,21.5,1018.3,10,13.1,19,31.1,45,28,0,999.9,0,0,0,0,0,0
"181",5,2018,1,12,"2018-01-12",704,43.7,43.7,1021.7,5.6,13.4,19,27,48,30.9,0,999.9,1,1,0,0,0,0
"182",3,2019,1,16,"2019-01-16",579,31.3,23.1,1017.3,9.8,9.1,19,26,43,19,0,999.9,0,0,0,0,0,0
"183",7,2018,1,7,"2018-01-07",475,9.3,-0.5,1028.3,10,12.7,19,27,19.9,1.9,0,999.9,0,0,0,0,0,0
"184",6,2019,1,12,"2019-01-12",520,23.1,3.7,1029,10,12.9,19,28,32,18,0,999.9,0,0,0,0,0,0
"185",6,2014,1,18,"2014-01-18",448,38.8,35.8,1009.2,8.7,7.9,19,28,44.1,28,0,999.9,0,1,0,0,0,0
"186",3,2017,1,18,"2017-01-18",549,41.6,38.5,1015.9,4.5,13.8,19,24.1,44.1,36,0.26,999.9,0,1,0,0,0,0
